strain,day,mean_b,genotype,age,intrinsic_growth_rate
JU394,Day 5,13,swept,7,0.808397872675066
MY16,Day 1,45.2,divergent,3,1.27036569561273
MY16,Day 2,126.4,divergent,4,1.28629154676347
MY16,Day 3,100.4,divergent,5,1.1211604132592
MY16,Day 4,14.4,divergent,6,0.942898239181082
MY16,Day 5,0.8,divergent,7,0.808596976739153
MY23,Day 1,45,divergent,3,1.26888749659011
MY23,Day 2,113,divergent,4,1.26564875825674
MY23,Day 3,63.75,divergent,5,1.08031012423794
MY23,Day 4,31.5,divergent,6,0.922396190521465
MY23,Day 5,11,divergent,7,0.796699374964335
QX1792,Day 1,51.6,swept,3,1.31450722416251
QX1792,Day 2,113.4,swept,4,1.27648636847515
QX1792,Day 3,19.8,swept,5,1.04385483184152
QX1792,Day 4,5.2,swept,6,0.874504012026748
QX1792,Day 5,6.4,swept,7,0.754307627988624
QX1793,Day 1,41.4,divergent,3,1.24109362694376
QX1793,Day 2,136.6,divergent,4,1.29544588757302
QX1793,Day 3,32,divergent,5,1.06942150614349
QX1793,Day 4,3.6,divergent,6,0.894017517847673
QX1793,Day 5,3,divergent,7,0.768293190652413
XZ1515,Day 1,30.4,swept,3,1.13814753613739
XZ1515,Day 2,57,swept,4,1.11762382066537
XZ1515,Day 3,35,swept,5,0.961458874015645
XZ1515,Day 4,10,swept,6,0.814304607250485
XZ1515,Day 5,3,swept,7,0.701176194354025
CX11254,Day 1,9.8,swept,3,0.760794128558842
CX11254,Day 2,45.6,swept,4,1.00364489843831
CX11254,Day 3,28.8,swept,5,0.886638984249656
CX11254,Day 4,14.4,swept,6,0.765178543601432
CX11254,Day 5,7.4,swept,7,0.666205584873152
CX11262,Day 1,54.2,swept,3,1.33089363614853
CX11262,Day 2,129.8,swept,4,1.30373393940225
CX11262,Day 3,73.6,swept,5,1.11028159884604
CX11262,Day 4,19.6,swept,6,0.937456544552625
CX11262,Day 5,5.2,swept,7,0.806189215088441
ECA348,Day 1,46,divergent,3,1.2762137988297
ECA348,Day 2,130.2,divergent,4,1.29290492837552
ECA348,Day 3,49,divergent,5,1.08339777925311
ECA348,Day 4,9,divergent,6,0.909362575193936
ECA348,Day 5,1.6,divergent,7,0.780426284014753
ECA363,Day 1,39.4,divergent,3,1.22458860543463
ECA363,Day 2,66.8,divergent,4,1.16633102720196
ECA363,Day 3,47.6,divergent,5,1.00713061141431
